neighborhood_manhattan,neighborhood_brooklyn,neighborhood_bronx,neighborhood_queens,neighborhood_staten_island,room_type_private,room_type_entire,room_type_shared,number_of_reviews,reviews_per_month,calculated_host_listings_count
1,0,0,0,0,0,1,0,4,0.85,2
0,1,0,0,0,1,0,0,21,0.3,3
1,0,0,0,0,1,0,0,31,2.63,1
0,1,0,0,0,0,1,0,2,0.21,1
0,1,0,0,0,0,1,0,17,1.65,9
0,1,0,0,0,1,0,0,8,0.94,1
1,0,0,0,0,0,1,0,2,0.6,327
1,0,0,0,0,0,1,0,7,0.16,1
1,0,0,0,0,1,0,0,123,1.99,2
0,1,0,0,0,0,1,0,0,0.0,1
0,1,0,0,0,1,0,0,1,0.04,1
1,0,0,0,0,1,0,0,0,0.0,2
0,0,0,1,0,1,0,0,1,0.57,103
0,0,0,0,1,0,1,0,4,1.97,1
1,0,0,0,0,0,1,0,8,0.23,1
1,0,0,0,0,0,1,0,1,0.07,4
1,0,0,0,0,1,0,0,211,2.54,3
1,0,0,0,0,1,0,0,10,0.46,1
0,1,0,0,0,1,0,0,2,0.09,1
0,1,0,0,0,1,0,0,219,2.44,2
0,1,0,0,0,0,1,0,211,2.57,1
1,0,0,0,0,0,1,0,5,1.2,1
1,0,0,0,0,1,0,0,3,0.09,1
